zcta20,year,pop,pop_under_18,pop_wht,pop_wht_f20to44,pop_wht_65andover,pop_settled,commuting_pop_drivealone2work,commuting_pop_pubtrans2work,commuting_pop_subway2work,commuting_pop_bikenwalk2work,commuting_pop_athome2work,commuting_pop_bf6am2work,commuting_pop_10amto4pm2work,commuting_pop_af4pm2work,commuting_pop_under20min_drivealone,commuting_pop_above45min_drivealonw,household_ttl,family_ttl,income_median_household,income_median_family,median_earnings,median_earnings_drive_alone,median_earnings_carpooled,median_earnings_pbltrans,median_earnings_walk,median_earnings_bikenothers,median_earnings_work_from_home,houseunit_occupby_owner,edu_bchlor_pop,edu_mst_pop,edu_dr_pop,insurance_pop,pop_20to64_worknotfultime,pop_20to64_workfultime,pop_65nover_work,pop_with_retireincome,job_pop_nonprofit,job_pop_government,job_pop_selfemploy,job_pop_unpaidinfamily,houseunit_median_value,houseunit_median_rent,houseunit_ttl,houseunit_detached,houseunit_attached_1to4,houseunit_attached_50nmore,houseunit_builtyr,houseunit_energy_electr,houseunit_energy_solar,veh_household_with_2nmore,veh_ttl,veh_commuting,veh_commuting_feml,household_1p,household_2p,household_3p,household_4pnmore,commuting_pop_citylive,commuting_pop_citynolive,family_1work,family_bothwork,family_withkid,family_withnokid,buff3_L2_chargers,buff3_DCFC_chargers,buff3_evcs_median_operated_months,buff3_evcs_open_this_yr,buff10_L2_chargers,buff10_DCFC_chargers,buff10_evcs_median_operated_months,buff10_evcs_open_this_yr,buff15_L2_chargers,buff15_DCFC_chargers,buff15_evcs_median_operated_months,buff15_evcs_open_this_yr,buff30_L2_chargers,buff30_DCFC_chargers,buff30_evcs_median_operated_months,buff30_evcs_open_this_yr,buff70_L2_chargers,buff70_DCFC_chargers,buff70_evcs_median_operated_months,buff70_evcs_open_this_yr,buff150_L2_chargers,buff150_DCFC_chargers,buff150_evcs_median_operated_months,buff150_evcs_open_this_yr,buff300_L2_chargers,buff300_DCFC_chargers,buff300_evcs_median_operated_months,buff300_evcs_open_this_yr,traffic_cluster3,buff1000_subway_stops,buff1000_nonsubway_stops,buff3500_subway_stops,buff3500_nonsubway_stops,mean_min_temprature,job_offer_ttl,job_occupation_ttl,job_sdi_offer,job_sdi_occupation,centroid_pop_longitude,centroid_pop_latitude,area,area_length_water,pop_density,houseunit_density,houseunit_detached2four,houseunit_detached2four_density,houseunit_attached_50nmore_density,income2housevalue,PHEV_next2yr,BEV_next2yr
13063,2022,1696,213,1606,161,444,1656,827,0,0,28,24,91,96,29,355,30,880,491,75238.0,103607.0,50000,50000,35000,1,10000,1,50000,798,102,227,41,1686,211,674,168,293,100,277,63,0,216000.0,687.0,895,835,39,17,1979.0,45,0,410,1427,875.0,375.0,378,340,74,88,0,978,156,151,38,269,0.0,0.0,0,0,0.0,0.0,0,0,8.0,0.0,33,2,160.0,24.0,14,29,318.0,32.0,11,79,871.0,127.0,18,171,8818.0,1547.0,21,1215,2,0,0,0,0,1.746365661714592,402,906,1.806684656676517,2.664068399577129,419215.9334000005,4744492.8742,94994237.239513,272669.0,1.7853714596642357e-05,9.421624153298884e-06,874,9.200558111713102e-06,1.789582241408727e-07,0.348324074074074,0.0,0.0
13065,2022,222,75,222,61,32,207,72,0,0,0,0,0,0,0,34,38,97,44,102446.0,102446.0,35000,35000,1,1,1,1,1,97,0,0,0,222,0,88,0,70,0,0,0,0,98800.0,0.0,97,97,0,0,1996.0,0,0,38,135,0.0,0.0,15,65,0,17,0,72,0,0,0,0,0.0,0.0,0,0,2.0,0.0,4,1,20.0,0.0,23,2,55.0,12.0,23,9,369.0,52.0,18,75,897.0,104.0,18,166,6219.0,1072.0,18,1016,2,0,0,0,0,4.340749740600586,2,30,0.6931471803599453,2.017807237354768,351312.77300000004,4742334.686799999,2285040.636609308,0.0,9.715363326291564e-05,4.245001093019287e-05,97,4.245001093019287e-05,0.0,1.0369028340080972,0.0,0.0
13066,2022,12752,2694,11400,1443,2931,11467,4954,24,24,81,849,422,480,185,2798,363,5417,3498,115625.0,142767.0,65000,65000,25000,65000,75000,65000,75000,4387,2631,2223,401,12699,1862,4089,931,1584,896,1390,300,21,259900.0,1125.0,5909,4175,993,206,1969.0,730,0,3149,9267,5165.0,2505.0,1692,1870,845,1010,0,6448,647,1401,1005,1043,16.0,0.0,10,3,53.0,4.0,16,13,152.0,27.0,14,25,287.0,35.0,14,39,292.0,39.0,11,81,1008.0,143.0,18,171,7114.0,1248.0,18,1126,1,0,28,0,85,4.376795012776445,5970,5418,2.04680780330137,2.546715976158672,417546.3613,4764210.323899999,39051614.76212281,761967.0,0.0003265421949304,0.0001513125650755,5168,0.0001323376774937,5.275069962018698e-06,0.4448826471719892,0.0,0.0
13068,2022,4778,911,4569,629,969,4221,1551,17,0,165,129,135,265,29,1226,86,2059,1266,78125.0,86364.0,50000,50000,35000,75000,35000,1,65000,1492,734,414,162,4605,588,1602,262,642,467,329,82,0,206300.0,841.0,2201,1403,252,0,1977.0,428,16,1354,4079,1705.0,830.0,426,1001,331,301,0,2201,269,431,223,477,0.0,0.0,0,0,4.0,0.0,15,1,43.0,1.0,25,8,76.0,9.0,29,10,273.0,62.0,18,54,920.0,132.0,18,176,8908.0,1676.0,20,1282,2,0,0,0,0,2.707302684653295,882,2095,2.086982895308165,2.510267235793537,388980.1597999996,4707603.174699999,131626657.94813648,670182.0,3.629963773662496e-05,1.6721536763983157e-05,1655,1.2573440865239494e-05,0.0,0.378696073679108,0.0,0.0
13069,2022,23378,5019,22216,3549,3780,20554,9306,32,0,135,532,2196,1040,534,4414,609,9862,6359,59318.0,64881.0,35000,35000,25000,35000,15000,35000,35000,6593,1847,911,26,22498,3285,7786,754,2938,1234,1923,434,8,99600.0,722.0,10689,6999,1808,283,1962.0,1596,24,5284,16442,9555.0,4325.0,2505,3530,1982,1845,0,11053,922,1694,1051,1565,0.0,0.0,0,0,2.0,0.0,15,0,8.0,0.0,13,0,119.0,0.0,14,11,227.0,35.0,11,67,1033.0,170.0,18,170,6287.0,1011.0,18,998,2,0,56,0,116,3.682159146862829,5774,10262,2.289836507542486,2.602856593243653,385718.4570000004,4797709.756100001,294023761.15400887,9639674.0,7.951058073757061e-05,3.635420470116743e-05,8807,2.99533614747106e-05,9.625072439358577e-07,0.595562248995984,0.0,0.0
13071,2022,864,223,788,128,115,726,289,6,0,9,42,45,21,25,104,16,311,217,69125.0,77083.0,35000,35000,15000,25000,25000,50000,35000,241,85,41,6,827,114,299,32,54,37,69,41,0,136400.0,781.0,336,191,12,0,1974.0,25,0,213,616,305.0,125.0,62,115,49,85,0,391,61,86,72,75,0.0,0.0,0,0,0.0,0.0,0,0,4.0,0.0,24,0,90.0,9.0,28,12,302.0,46.0,17,67,892.0,112.0,18,169,7255.0,1299.0,18,1142,2,0,0,0,0,3.645020211952321,188,429,2.021159671348922,2.635649148817389,374348.98149999976,4725365.5573,62560353.08344486,63562.0,1.3810663741740252e-05,5.370813677343432e-06,203,3.2448665967283234e-06,0.0,0.5067815249266863,0.0,0.0
13072,2022,838,118,812,90,211,779,311,0,0,0,17,137,54,39,51,109,342,232,59583.0,62273.0,35000,35000,25000,1,1,1,35000,285,70,23,0,810,99,279,48,121,58,72,19,0,99800.0,568.0,473,375,17,0,1966.0,3,0,261,746,340.0,130.0,63,188,47,44,0,223,60,40,25,75,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,22.0,0.0,14,5,302.0,58.0,11,79,850.0,128.0,18,149,8579.0,1697.0,21,1233,2,0,0,0,0,1.304127094357513,12,329,0.4505612086663046,2.505348047743642,438493.73230000027,4734586.6839000005,119833710.44577196,46852.0,6.9930238902117445e-06,3.947136396265101e-06,392,3.2711997195262574e-06,0.0,0.5970240480961924,0.0,0.0
13073,2022,6514,1579,5871,864,1190,5266,2520,39,28,58,221,378,161,95,1104,230,2732,1795,67074.0,81520.0,35000,35000,35000,75000,35000,50000,75000,2001,739,388,162,6366,784,2173,347,657,768,451,168,9,168000.0,905.0,2871,2131,316,38,1971.0,771,0,1852,5195,2575.0,1090.0,731,986,477,538,0,3004,384,681,589,476,0.0,0.0,0,0,0.0,0.0,0,0,19.0,1.0,23,1,76.0,9.0,29,10,312.0,62.0,18,68,901.0,132.0,18,174,8889.0,1533.0,19,1269,2,0,0,0,0,2.827959411284503,841,2673,2.356433280584473,2.556320927804729,387512.5500999997,4715847.2138,142857711.1587726,304321.0,4.559781860679761e-05,2.009692005221307e-05,2447,1.712893185920076e-05,2.65998941826575e-07,0.39925,0.0,0.0
13074,2022,4453,910,4098,561,668,3978,1727,0,0,20,36,461,156,137,658,381,1752,1233,73804.0,82521.0,35000,35000,35000,1,1,35000,25000,1416,301,62,0,4243,551,1346,183,627,101,147,28,0,127100.0,671.0,1912,1419,148,0,1981.0,94,0,1236,3556,1780.0,880.0,409,670,362,311,0,1913,277,344,159,462,0.0,0.0,0,0,0.0,0.0,0,0,4.0,0.0,39,0,71.0,0.0,14,6,217.0,35.0,11,64,1032.0,156.0,18,170,6140.0,994.0,18,998,2,0,0,0,0,4.120303278209784,549,1646,1.931925078053203,2.624102213815628,373205.5811999999,4797222.201400001,109953750.26235232,443349.0,4.049884600911778e-05,1.7389129478875632e-05,1567,1.4251446596965544e-05,0.0,0.5806766325727774,0.0,0.0
13076,2022,2416,556,2247,373,264,2214,1040,0,0,29,145,181,105,76,196,145,938,713,76250.0,73603.0,35000,35000,25000,1,15000,35000,35000,870,173,89,0,2408,288,961,125,270,50,243,122,0,134800.0,609.0,986,697,87,0,1983.0,137,0,702,1926,1070.0,400.0,180,277,176,305,0,1299,148,222,172,198,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,131.0,15.0,15,10,217.0,23.0,11,64,1003.0,167.0,18,170,6389.0,1016.0,18,1010,2,0,0,0,0,2.832099875738455,142,999,2.011451262703632,2.61839000823593,407586.2494999999,4800134.892000001,38670759.161485486,56625.0,6.247614612144047e-05,2.549730135585277e-05,784,2.0273716291063464e-05,0.0,0.5656528189910979,0.0,0.0
